symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
MAHSEAMLES,Mah. Seamless,Screener: Iron & Steel Products,,9589.11,True,14.31,True,14.75,True,932.8,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,715.65,62.89,47.76,27.14,11.86,Bullish (Uptrend),17.26,642.95,717.8,True,247,10.22,2.12,1.06,6.1,4.37,8.11,27,4.61,LEADING,LEADING,15.28,False,False,True,False,True,,True,True
INOXINDIA,Inox India,Screener: Other Industrial Products,,19575.87,True,33.48,True,21.13,True,116.65,True,0.07,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,2156.8,54.45,18.07,23.47,23.95,Bearish (Downtrend),17.13,1930.8,2224.0,False,247,22.38,-11.75,-4.53,-26.4,51.67,7.98,28,-9.27,WEAKENING,WEAKENING,-0.48,True,False,True,False,True,,False,False
TIIL,Technocraf.Inds.,Screener: Iron & Steel Products,,6809.55,True,16.34,True,18.21,True,243.48,True,0.41,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,3003.4,43.61,26.24,17.32,15.93,Bullish (Uptrend),16.47,2988.4,3020.0,True,247,23.0,-5.6,-3.35,-20.3,47.87,7.32,29,-3.12,WEAKENING,WEAKENING,1.39,True,False,True,False,True,,False,False
AJAXENGG,Ajax Engineering,Screener: Construction Vehicles,,6953.35,True,23.87,True,12.49,True,377.29,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,607.75,64.64,16.03,26.99,11.01,Bullish (Uptrend),13.98,605.05,607.95,True,247,1.3,5.21,4.62,33.0,14.02,4.83,31,7.69,LEADING,LEADING,15.98,False,False,True,False,True,,True,True
AEROFLEX,Aeroflex,Screener: Iron & Steel Products,,6956.63,True,18.92,True,23.41,True,65.84,True,0.02,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,525.7,53.63,26.95,22.82,17.59,Bullish (Uptrend),13.81,456.85,542.0,True,247,29.98,-20.93,-5.3,-38.4,126.19,4.66,32,-18.45,WEAKENING,WEAKENING,5.23,False,False,True,False,True,,True,False
APARINDS,Apar Inds.,Screener: Other Electrical Equipment,,74432.27,True,31.81,True,8.9,True,967.58,True,0.18,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,17776.0,53.73,28.73,22.77,17.03,Bullish (Uptrend),12.92,16199.0,18132.0,True,247,20.57,-7.8,4.02,31.1,60.01,3.77,34,-5.31,WEAKENING,WEAKENING,5.74,False,False,True,False,True,,True,False
SUPREMEIND,Supreme Inds.,Screener: Plastic Products - Industrial,,45094.54,True,20.73,True,14.41,True,1224.77,True,0.01,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,3550.0,53.7,15.85,24.82,20.92,Bullish (Uptrend),12.87,3547.2,3568.0,True,247,-2.13,4.66,2.66,20.7,-18.45,3.72,35,7.15,LEADING,LEADING,3.9,False,False,True,False,True,,True,True
BALUFORGE,Balu Forge,Screener: Castings & Forgings,,6152.14,True,22.72,True,26.56,True,31.7,True,0.1,True,1.37,True,6,,OK,2026-09-26,Screener 2026-09-26,506.8,44.23,25.46,20.2,27.28,Bearish (Downtrend),12.83,502.7,506.9,False,247,20.28,-9.09,-4.04,-31.5,40.73,3.67,36,-6.61,WEAKENING,WEAKENING,-7.08,False,False,True,False,True,,False,False
JINDALSAW,Jindal Saw,Screener: Iron & Steel Products,,18257.96,True,10.43,True,10.58,True,1771.39,True,0.37,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,285.5,46.2,24.95,14.56,23.49,Bearish (Downtrend),11.51,275.7,298.4,False,247,29.98,-16.96,-8.56,-74.4,54.85,2.35,38,-14.48,WEAKENING,WEAKENING,-8.93,False,False,True,False,True,,False,False
RATNAMANI,Ratnamani Metals,Screener: Iron & Steel Products,,19473.66,True,17.91,True,16.96,True,936.01,True,0.08,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,2778.3,56.69,28.46,24.62,13.28,Bullish (Uptrend),9.82,2533.4,2783.4,True,247,5.31,-0.0,-0.06,-0.6,7.92,0.67,40,2.48,WEAKENING,LEADING,11.34,False,False,True,False,True,,True,False
