symbol,company_name,index,price_sessions,current_price,passed_technical_screen,technical_fail_reason,rs_score,adx,plus_di,minus_di,trend_direction,rsi,fundamentals_as_of,fundamentals_status,pledged_as_of,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,passed_fundamental_screen,failed_criteria,passes_both_screens
HONAUT,Honeywell Automation India Ltd.,Nifty Capital Goods,248,33625.0,False,RS <= +2 pp; trend Bearish,-12.24,20.51,19.81,24.23,Bearish (Downtrend),37.34,,,,,,,,,,,,,,,,,,False
INOXWIND,Inox Wind Ltd.,Nifty Capital Goods,248,73.09,False,RS <= +2 pp; trend Bearish,-15.93,15.06,23.01,28.2,Bearish (Downtrend),43.38,,,,,,,,,,,,,,,,,,False
JYOTICNC,Jyoti CNC Automation Ltd.,Nifty Capital Goods,248,1072.55,True,,43.28,33.05,32.96,14.61,Bullish (Uptrend),61.18,2026-09-25,OK,30-Jun-2026,24392.0,True,21.3,True,24.42,True,54.0,True,0.43,True,20.92,False,False,Pledged percentage < 15%,False
KEI,KEI Industries Ltd.,Nifty Capital Goods,248,4636.5,False,RS <= +2 pp; trend Bearish,-9.56,29.97,16.83,24.83,Bearish (Downtrend),38.13,,,,,,,,,,,,,,,,,,False
KAYNES,Kaynes Technology India Ltd.,Nifty Capital Goods,248,3509.5,False,trend Bearish,9.93,18.38,22.2,23.72,Bearish (Downtrend),46.24,,,,,,,,,,,,,,,,,,False
KIRLOSENG,Kirloskar Oil Eng Ltd.,Nifty Capital Goods,248,2164.5,False,RS <= +2 pp,-10.45,14.6,20.84,17.07,Bullish (Uptrend),50.89,,,,,,,,,,,,,,,,,,False
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Nifty Capital Goods,248,2202.0,False,RS <= +2 pp; trend Bearish,-8.51,31.36,10.65,30.95,Bearish (Downtrend),29.75,,,,,,,,,,,,,,,,,,False
PTCIL,PTC Industries Ltd.,Nifty Capital Goods,248,21820.0,True,,27.62,44.03,27.17,19.48,Bullish (Uptrend),49.61,2026-09-25,OK,30-Jun-2026,32714.0,True,8.59,True,24.68,True,-69.0,False,0.17,True,0.07,True,False,Cash from operations last year > 0 (Rs Cr),False
POLYCAB,Polycab India Ltd.,Nifty Capital Goods,248,8366.5,False,RS <= +2 pp; trend Bearish,-9.79,24.99,15.53,25.48,Bearish (Downtrend),41.14,,,,,,,,,,,,,,,,,,False
PRAJIND,Praj Industries Ltd.,Nifty Capital Goods,248,316.1,False,RS <= +2 pp; trend Bearish,-6.91,22.65,15.71,22.01,Bearish (Downtrend),40.34,,,,,,,,,,,,,,,,,,False
