symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,interest_coverage,pass_interest_coverage,operating_cash_flow,pass_operating_cash_flow,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
NHPC,NHPC Ltd,Screener: Power Generation,,76342.26,True,5.75,False,3.22,True,3293.62,True,0.0,True,4,ROCE > 6%,OK,2026-09-26,Screener 2026-09-26,76.0,47.3,11.85,17.78,15.08,Bullish (Uptrend),-5.1,75.94,77.31,False,247,0.59,-2.97,1.06,,-12.73,0.94,7,-6.69,LAGGING,WEAKENING,2.7,False,False,False,,True,ROCE > 6%,True,False
JPPOWER,JP Power Ven.,Screener: Power Generation,,10876.44,True,6.97,True,3.32,True,1300.99,True,72.99,False,4,Pledged percentage < 15%,OK,2026-09-26,Screener 2026-09-26,15.87,42.3,17.84,28.55,23.07,Bullish (Uptrend),-9.17,15.7,16.18,False,247,-13.4,4.29,-0.7,,1.74,-3.12,12,0.57,IMPROVING,IMPROVING,5.48,False,False,False,,False,,False,False
JSWENERGY,JSW Energy,Screener: Power Generation,,92875.07,True,8.16,True,1.29,False,9898.31,True,13.28,True,4,Interest coverage > 1.5,OK,2026-09-26,Screener 2026-09-26,506.55,37.67,14.26,19.44,28.21,Bearish (Downtrend),-11.87,505.25,507.65,False,247,-8.93,-0.36,-2.99,,-1.41,-5.82,14,-4.08,LAGGING,LAGGING,-8.77,False,False,False,,False,,False,False
ADANIGREEN,Adani Green,Screener: Power Generation,,213572.86,True,7.39,True,1.29,False,10135.0,True,0.0,True,4,Interest coverage > 1.5,OK,2026-09-26,Screener 2026-09-26,1296.6,48.07,14.09,18.5,21.06,Bearish (Downtrend),-11.98,1291.4,1305.0,False,247,-16.3,3.0,1.33,,45.61,-5.93,15,-0.72,IMPROVING,LAGGING,-2.56,False,False,False,,False,,False,False
SJVN,SJVN,Screener: Power Generation,,24270.42,True,5.73,False,1.76,True,1859.66,True,0.0,True,4,ROCE > 6%,OK,2026-09-26,Screener 2026-09-26,61.76,28.22,25.44,13.4,29.93,Bearish (Downtrend),-12.25,61.21,67.51,False,247,-11.6,-0.66,-6.58,,-15.02,-6.2,16,-4.37,LAGGING,LAGGING,-16.53,False,False,False,,True,ROCE > 6%,False,False
KPIGREEN,KPI Green Energy,Screener: Power Generation,,6715.91,True,13.85,True,3.99,True,424.07,True,44.74,False,4,Pledged percentage < 15%,OK,2026-09-26,Screener 2026-09-26,339.75,60.02,50.06,32.28,18.27,Bullish (Uptrend),-12.38,339.45,340.0,False,247,-27.79,13.45,19.69,,-24.05,-6.34,17,9.74,IMPROVING,IMPROVING,14.01,False,False,False,,False,,False,False
RPOWER,Reliance Power,Screener: Power Generation,,8507.28,True,6.11,True,1.17,False,2824.36,True,0.0,True,4,Interest coverage > 1.5,OK,2026-09-26,Screener 2026-09-26,20.57,30.48,12.81,17.95,26.89,Bearish (Downtrend),-13.06,20.51,22.9,False,247,-21.73,5.64,-4.3,,-5.76,-7.02,18,1.92,IMPROVING,IMPROVING,-8.94,False,False,False,,False,,False,False
CLEANMAX,Clean Max Enviro,Screener: Power Generation,,16379.72,True,6.16,True,1.31,False,1731.24,True,20.02,False,3,Interest coverage > 1.5; Pledged percentage < 15%,OK,2026-09-26,Screener 2026-09-26,1393.4,56.38,19.27,27.91,12.84,Bullish (Uptrend),8.87,1240.0,1398.6,True,141,5.97,-5.23,1.12,12.6,27.62,14.91,2,-8.94,WEAKENING,WEAKENING,15.07,False,False,False,,False,,False,False
GMRP&UI,GMR Urban,Screener: Power Generation,,8019.49,True,11.96,True,0.94,False,1259.98,True,59.96,False,3,Interest coverage > 1.5; Pledged percentage < 15%,OK,2026-09-26,Screener 2026-09-26,102.68,65.77,15.0,24.22,13.51,Bullish (Uptrend),5.38,101.6,102.88,True,247,-12.87,12.42,7.91,147.0,-19.13,11.42,3,8.7,LEADING,LEADING,10.71,False,True,False,,False,,False,False
JNPR,Juniper Green,Screener: Power Generation,,15138.2,True,3.3,False,1.09,False,469.99,True,0.0,True,3,ROCE > 6%; Interest coverage > 1.5,OK,2026-09-26,Screener 2026-09-26,266.05,52.36,15.28,17.57,15.52,Bullish (Uptrend),7.19,246.57,275.52,True,36,,,4.22,58.7,,,,,,,2.05,False,True,False,,False,ROCE > 6%,False,False
VEDPOWER,Vedanta Power,Screener: Power Generation,,12884.73,True,,False,1.08,False,,False,0.0,True,2,ROCE > 6% (missing); Interest coverage > 1.5; Cash from operations last year > 0 (Rs Cr) (missing),OK,2026-09-26,Screener 2026-09-26,32.95,45.39,25.74,18.32,25.19,Bearish (Downtrend),-18.49,31.56,37.71,False,73,,,-1.45,,,,,,,,-6.87,False,False,False,,False,ROCE > 6%; Cash from operations last year > 0 (Rs Cr),False,False
