window,start,end,sessions,portfolio_return_pct,benchmark_return_pct,excess_return_pp,portfolio_annualised_compound_pct,portfolio_annualised_simple_pct,compounding_effect_pp,benchmark_annualised_pct,risk_free_annualised_pct,portfolio_vol_pct,benchmark_vol_pct,beta_vs_nifty500,sharpe_portfolio,sharpe_benchmark,treynor_portfolio_pct,treynor_benchmark_pct,jensen_alpha_pct,xirr_portfolio_pct,xirr_benchmark_pct
Last quarter (63 sessions),2026-06-30,2026-09-25,63,20.55,-1.42,21.97,111.18,82.2,28.99,-5.56,4.95,22.65,9.81,1.349,4.69,-1.07,78.73,-10.5,120.41,117.1,-5.75
Last year,2025-09-29,2026-09-25,246,61.67,0.42,61.24,63.57,63.17,0.4,0.43,5.36,22.83,14.15,1.127,2.55,-0.35,51.67,-4.93,63.76,61.88,0.42
