Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
NTPC Green Ene.,544289,NTPCGREEN,INE0ONG01011,Power,Power Generation,93.47,129.76,78760.90,0.00,304.84,38.26,1106.86,62.72,3.56,36.48,1.67,2.79,1.76,0.00,156.34,45.06,3.66,2386.20,6053.17,5.34,86.09,42.12,14193.32
Orient Green,533263,GREENPOWER,INE999K01014,Power,Power Generation,8.96,19.64,1051.04,0.00,23.95,-20.14,81.43,-6.81,7.19,7.26,0.45,5.27,2.04,99.99,4.28,85.44,4.62,194.58,612.65,6.91,62.08,0.71,78.96
Power Grid Corpn,532898,POWERGRID,INE752E01010,Power,Power - Transmission,269.50,15.77,250651.27,3.34,3598.42,-0.89,11496.72,2.68,9.10,10.80,1.47,15.26,2.70,0.00,0.84,-1.72,16.73,40935.36,114446.68,11.58,73.13,2.29,43746.76
Powergrid Infra.,543290,PGINVIT,INE0GGX23010,Power,Power - Transmission,101.91,10.23,9273.80,2.94,185.12,-2.96,311.38,-0.61,11.65,7.31,0.14,11.94,14.03,0.00,-0.72,88.22,13.19,1175.56,3620.77,13.57,102.74,-0.64,16.27
PTC India,532524,PTC,INE877F01012,Power,Power Trading,155.09,8.98,4590.79,14.83,112.08,-49.76,4773.80,19.07,13.40,2.27,0.30,10.25,3.93,0.00,1.64,11.18,9.94,2817.00,7131.40,12.49,4.25,13.26,0.11
RattanIndia Pow.,533122,RTNPOWER,INE399K01017,Power,Power Generation,7.00,33.74,3759.07,0.00,45.85,449.73,798.55,-2.85,6.21,9.76,0.80,1.14,1.28,0.00,-2.54,26.58,,372.18,2087.86,7.76,14.62,-6.49,20.51
Reliance Infra.,500390,RELINFRA,INE036A01016,Power,Integrated Power Utilities,45.20,0.80,1847.01,0.00,767.79,409.43,6344.27,7.39,15.44,0.69,0.28,14.26,3.17,0.00,-1.89,72.77,14.00,2550.22,10304.37,18.94,2.92,-6.41,1240.15
Reliance Power,532939,RPOWER,INE614G01033,Power,Power Generation,20.57,2369.72,8507.28,0.00,64.71,44.83,1956.32,3.75,6.11,7.90,0.92,-0.90,1.17,0.00,0.47,23.80,-6.06,2824.36,7936.25,4.56,30.70,2.87,1720.48
SJVN,533206,SJVN,INE002L01015,Power,Power Generation,61.76,37.97,24270.42,2.43,224.74,-1.25,1394.38,51.98,5.73,14.96,2.27,4.58,1.76,0.00,15.51,-22.34,5.43,1859.66,5652.14,5.21,67.78,60.47,19155.21
SRM Energy Ltd,523222,,INE173J01018,Power,Power Generation,27.17,4.60,24.62,0.00,3.51,350.71,0.00,,432.94,5.18,,,,0.00,,81.15,,1.59,1.04,123.42,,,0.00
Surana Telecom,517530,SURANAT&P,INE130B01031,Power,Power Generation,15.92,6.59,216.13,0.00,11.00,297.76,3.50,-15.46,13.35,6.11,0.37,14.66,10.68,0.00,29.87,287.95,6.67,-28.87,-10.68,5.97,-5.12,283.37,0.00
Sustainable Ener,,SEITINVIT,INE0R8O23017,Power,Power Generation,122.49,26.89,3968.68,2.62,64.35,26.82,206.90,3.17,5.60,10.68,1.13,3.97,1.50,0.00,,,2.76,616.74,1342.41,5.67,81.51,2.54,0.00
Tata Power Co.,500400,TATAPOWER,INE245A01021,Power,Integrated Power Utilities,367.50,29.99,117428.73,0.68,1400.86,10.95,19051.26,5.63,10.53,10.44,1.93,10.21,2.29,0.00,4.24,5.97,11.03,5993.33,31177.89,10.95,20.20,-4.19,14595.13
Torrent Power,532779,TORNTPOWER,INE813H01021,Power,Integrated Power Utilities,1254.60,27.20,63219.74,1.59,661.85,-12.66,8124.15,2.75,13.66,12.95,0.73,12.47,4.21,0.00,4.08,3.69,15.17,5464.17,14527.43,14.79,19.18,4.09,6964.78
Ujaas Energy,533644,UEL,INE899L01030,Power,Power Generation,183.73,623.64,2450.92,0.00,3.25,30.52,3.03,14.34,3.89,377.84,0.27,3.12,50.33,0.00,-17.98,29.08,20.38,4.38,128.86,9.31,-20.39,-26.92,0.00
Vedanta Power,544781,VEDPOWER,INE694L01019,Power,Power Generation,32.95,20.98,12884.73,0.00,-423.00,-27.27,2607.00,31.27,,,,,1.08,0.00,,,,,,0.00,17.71,,
Veer Energy,503657,,INE255E01030,Power,Power Generation,13.20,49.38,19.75,0.00,0.51,64.52,1.75,169.23,0.39,13.68,0.00,0.31,13.20,0.00,-10.89,-51.29,0.44,-1.78,-7.52,0.58,-41.24,-43.16,0.00
Waa Solar,541445,,INE799N01012,Power,Power Generation,46.00,132.67,61.03,0.00,-1.17,-114.19,18.96,36.80,3.24,10.88,0.96,0.25,1.00,75.16,-17.10,-63.98,2.57,67.45,77.87,3.42,55.78,-1.70,19.90
Waaree Tech.,539337,,INE725P01012,Power,Power Generation,203.65,,219.29,0.00,-2.46,18.81,3.03,-34.70,-32.24,-73.72,,,-8.27,0.00,-37.64,,,-2.48,-19.34,-42.00,-49.79,-30.37,0.00
