Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
Cospower Engine.,543172,,INE0CQB01010,Industrial Manufacturing,Industrial Products,3050.00,43.02,560.13,0.03,10.76,568.32,74.62,261.36,38.38,25.22,0.59,39.81,8.19,0.00,96.76,295.79,27.76,-15.30,-11.37,20.30,21.46,286.90,0.00
Cranex,522001,,INE608B01010,Industrial Manufacturing,Industrial Products,78.97,25.54,63.33,0.00,0.32,33.33,9.89,10.13,10.36,16.28,0.78,8.88,3.38,0.00,10.19,54.35,10.68,-1.23,-4.13,10.23,8.07,9.09,0.00
Creative Casting,539527,,INE146E01015,Industrial Products,Castings & Forgings,567.20,14.15,73.74,2.20,1.58,113.51,13.97,54.36,14.40,8.74,0.00,9.80,762.00,0.00,-1.64,-2.23,10.63,8.64,17.87,15.14,12.54,35.72,1.07
Creative Graphic,,CGRAPHICS,INE0R7401011,Industrial Products,Other Industrial Products,134.05,17.35,325.55,0.00,6.57,-43.46,170.09,23.23,16.13,11.08,0.75,16.16,4.25,0.00,56.57,30.05,23.45,-5.17,-24.16,23.36,9.86,37.80,15.50
Crimson Metal,526977,,INE318P01016,Industrial Products,Iron & Steel Products,27.38,80.80,12.12,0.00,0.03,50.00,1.99,-1.97,7.98,8.04,4.37,2.47,1.09,0.00,-0.99,-24.09,-6.17,0.65,6.17,7.79,53.87,-18.74,0.00
Cropster Agro,523105,,INE293E01031,Industrial Products,Packaging,2.82,15.65,236.88,0.00,5.34,34.51,54.59,7.00,12.45,15.23,0.00,12.00,,0.00,,388.86,16.48,-1.19,-73.32,22.27,8.66,-12.69,0.00
Crown Lifters,,CROWN,INE491V01019,Industrial Manufacturing,Industrial Products,119.36,15.32,138.34,0.00,2.94,4.63,13.02,29.29,13.39,7.88,0.75,12.72,3.47,0.00,27.24,40.81,12.11,9.49,106.12,16.88,52.03,13.88,5.87
Cryogenic OGS,544440,,INE0TL001013,Industrial Manufacturing,Industrial Products,414.95,68.74,592.55,0.00,4.47,35.05,19.76,1.39,29.56,43.26,0.00,20.61,112.36,0.00,22.86,30.04,22.55,7.99,11.46,32.01,27.76,24.07,1.58
Cubex Tubings,526027,CUBEXTUB,INE144D01012,Industrial Products,"Aluminium, Copper & Zinc Products",152.24,28.91,217.99,0.00,1.32,7.32,64.97,30.28,11.49,17.06,0.52,9.36,3.48,0.00,14.66,41.14,8.26,5.29,7.94,10.46,1.85,15.66,0.00
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",4945.00,56.19,137075.40,1.33,609.30,2.54,3426.01,17.86,39.50,39.64,0.00,30.24,233.97,0.00,16.04,26.30,28.83,1734.26,4702.19,36.83,20.44,15.30,97.71
Cybele Industrie,531472,,INE183D01010,Electrical Equipment,Other Electrical Equipment,37.00,1.45,39.57,0.00,-0.26,-104.66,9.10,96.97,-4.24,1.75,0.38,-11.24,14.76,0.00,,,-11.81,-16.37,-22.41,-9.91,-4.86,100.24,0.00
Cyient DLM,543933,CYIENTDLM,INE055S01018,Aerospace & Defense,Aerospace & Defense,931.40,90.05,7393.77,0.00,16.29,118.36,373.80,34.25,9.90,42.94,0.17,7.49,5.26,0.00,14.88,31.74,8.23,53.90,-79.03,11.66,10.39,-11.90,2.12
D & H India,517514,,INE589D01018,Industrial Manufacturing,Industrial Products,208.90,23.70,213.81,0.00,1.98,47.76,65.96,24.69,14.35,12.33,0.60,13.34,3.79,0.00,22.14,26.14,10.98,22.22,19.63,12.73,6.92,22.16,1.42
