Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
Ecoline Exim,,ECOLINE,INE0VBS01016,Industrial Products,Packaging,177.50,19.44,364.15,0.00,7.28,8.82,139.18,0.69,16.43,11.24,0.36,14.83,9.64,0.00,-2.90,2.58,,1.81,,16.43,8.85,3.24,11.86
Ecoplast,526703,,INE423D01010,Industrial Products,Plastic Products - Industrial,477.00,18.76,226.79,0.00,3.33,14.04,63.25,17.87,14.39,9.79,0.02,10.57,26.03,0.00,31.80,60.50,15.41,-2.09,23.52,24.14,9.27,23.47,6.19
Eimco Elecon(I),523708,EIMCOELECO,INE158B01016,Industrial Manufacturing,Industrial Products,2301.60,33.53,1328.02,0.17,15.38,6.22,77.52,14.73,10.29,21.62,0.01,7.81,52.05,0.00,10.14,18.86,10.02,22.11,66.98,13.26,18.66,-1.49,1.57
Elango Industrie,513452,,INE594D01018,Industrial Products,Iron & Steel Products,12.50,,4.78,0.00,-0.05,0.00,0.01,-95.24,-3.51,-36.77,0.00,-3.78,,0.00,,2.17,-4.29,0.00,-1.63,-4.21,-325.00,-96.43,0.00
Elecon Engg.Co,505700,ELECON,INE205B01031,Electrical Equipment,Heavy Electrical Equipment,458.25,34.01,10283.13,0.44,70.35,-34.57,520.56,6.11,20.86,17.88,0.12,16.43,17.46,0.00,15.65,14.00,20.76,314.22,1104.44,26.88,20.95,3.05,23.11
Electro Force,,EFORCE,INE0Q1W01012,Electrical Equipment,Other Electrical Equipment,18.05,67.05,42.24,0.00,-0.23,-119.49,9.65,-73.78,1.31,29.88,0.00,0.88,13.43,0.00,-14.05,-56.62,4.10,-0.35,-28.01,7.66,-4.16,-63.33,18.10
Electrost.Cast.,500128,ELECTCAST,INE086A01029,Industrial Products,Iron & Steel Products,72.34,28.11,4471.95,1.24,48.37,-45.74,1425.57,-8.48,5.00,11.08,0.26,3.04,2.52,10.54,-6.65,-17.70,10.27,1146.63,2429.98,11.53,4.99,-15.73,1185.69
Electrotherm(I),526608,ELECTHERM,INE822G01016,Industrial Products,Iron & Steel Products,873.35,,1112.89,0.00,6.93,-75.03,913.38,9.51,0.45,210.61,,,-1.70,7.88,6.30,,,351.16,1031.18,24.08,0.11,-3.05,138.45
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",603.00,41.19,19109.61,0.45,103.30,27.00,1062.20,22.56,22.07,25.67,0.24,19.00,26.79,0.88,9.12,10.87,19.78,453.50,1129.30,22.09,14.76,15.94,135.70
Elgi Rubber Co,,ELGIRUBCO,INE819L01012,Industrial Products,Rubber,54.96,,275.35,0.00,40.85,293.38,70.09,-18.10,-12.92,-16.21,4.13,-67.47,-1.57,21.51,-2.42,,-21.68,-11.49,-13.56,-2.22,-17.27,-5.89,12.40
EMA India,522027,,INE279D01016,Industrial Manufacturing,Industrial Products,579.05,,58.48,0.00,-0.32,-166.67,0.00,,-48.32,-46.38,0.00,-195.56,,0.00,,,,1.82,0.85,-472.67,,,0.27
Emkay Taps & Cut,,EMKAYTOOLS,INE332S01011,Industrial Manufacturing,Industrial Products,95.00,,101.38,0.00,5.78,170.15,0.46,-98.88,0.12,180.55,0.00,-1.30,4.25,0.00,-28.35,,3.27,-4.88,39.30,6.36,-7.27,-22.15,0.00
Emkay Tools,,ETL,INE0PXC01024,Industrial Manufacturing,Industrial Products,1203.00,21.86,1283.76,0.25,34.36,39.96,82.48,31.74,70.68,15.56,0.00,52.48,7936.00,0.00,,,,65.08,,70.68,55.71,23.87,0.00
Emmbi Industries,533161,EMMBI,INE753K01015,Industrial Products,Packaging,87.01,18.58,167.41,0.34,1.93,13.53,114.65,10.07,8.75,7.71,0.88,4.63,1.69,0.00,6.93,2.63,4.76,9.02,62.17,8.41,9.44,11.28,1.11
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,321.90,17.49,22286.59,0.31,380.29,102.64,1555.52,51.34,44.62,11.22,0.10,50.72,14.91,0.00,101.40,393.29,56.07,200.14,1059.50,26.58,34.64,84.07,9.85
Energy-Mission,,EMMIL,INE0S1L01013,Industrial Manufacturing,Industrial Products,124.95,11.86,141.52,0.00,5.51,-11.27,85.00,8.56,16.32,7.27,0.31,13.23,7.38,0.00,17.34,17.36,19.47,14.76,2.04,23.28,14.00,6.43,17.66
Envair Electrody,500246,,INE601C01013,Industrial Manufacturing,Industrial Products,62.50,2900.00,29.00,0.00,0.03,-76.92,0.00,,1.47,1137.00,0.00,1.34,,0.00,,29.79,-4.82,-0.31,5.93,-2.91,,-100.00,0.00
Envirotech Sys.,,ENVIRO,INE0SUH01015,Industrial Products,Other Industrial Products,71.10,11.03,133.60,0.00,6.13,-45.37,31.54,0.73,22.67,7.51,0.18,17.31,11.77,0.00,27.28,67.65,26.31,0.50,-2.39,42.83,32.66,21.50,1.40
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,245.38,26.05,2469.28,0.00,18.17,13.35,365.84,23.87,21.71,12.65,0.16,17.04,4.90,0.00,32.43,57.46,20.49,135.70,269.64,24.27,10.23,37.53,60.35
EPL Ltd,500135,EPL,INE255A01020,Industrial Products,Packaging,238.10,18.57,7626.68,1.05,100.60,-1.40,1387.90,25.27,17.80,8.06,0.34,15.73,5.50,0.00,8.84,21.69,14.93,722.90,2104.50,16.79,19.81,16.91,152.90
Eppeltone Ene.,,EEPL,INE11HF01010,Electrical Equipment,Other Electrical Equipment,132.05,13.89,171.13,0.00,6.12,-11.69,88.47,19.28,18.49,10.26,0.43,18.85,7.29,0.00,22.89,124.42,28.02,-17.84,-22.61,31.13,14.41,8.49,6.41
Equilateral Ent.,531262,,INE060N01019,Electrical Equipment,Other Electrical Equipment,8.57,81.31,10.57,0.00,0.05,-68.75,10.22,-37.42,2.06,51.10,0.05,2.16,,0.00,224.51,128.94,1.33,4.21,11.26,1.27,-2.41,74.87,0.00
Esab India,500133,ESABINDIA,INE284A01012,Industrial Products,Other Industrial Products,5527.00,41.10,8507.72,1.36,56.14,37.13,421.12,19.63,64.68,28.43,0.01,48.76,163.38,0.00,11.40,12.86,52.27,180.69,520.53,70.46,18.38,12.99,5.65
Escorts Kubota,500495,ESCORTS,INE042A01014,"Agricultural, Commercial & Construction Vehicles",Tractors,2855.70,22.45,31948.93,1.16,385.93,23.63,3207.55,28.30,13.93,14.56,0.01,18.72,87.24,0.00,11.04,46.60,13.91,1381.16,3172.95,13.14,12.49,20.43,199.59
Ester Industries,500136,ESTER,INE778B01029,Industrial Products,Packaging,86.14,,898.40,0.29,18.62,360.06,432.16,27.78,2.76,10.83,0.93,-3.53,1.05,0.00,7.27,,-6.50,88.54,244.51,1.41,8.29,10.11,36.18
Euro Panel,544461,EUROBOND,INE505V01016,Industrial Products,"Aluminium, Copper & Zinc Products",150.56,13.95,368.87,0.00,4.96,-13.29,119.62,14.10,16.72,9.12,1.00,17.96,3.78,0.00,15.21,37.89,15.69,-3.24,12.17,16.32,10.90,21.25,2.64
Everest Kanto,532684,EKC,INE184H01027,Industrial Manufacturing,Industrial Products,110.28,9.31,1237.43,0.63,30.16,-27.86,346.31,-10.49,11.56,6.60,0.19,11.28,10.97,0.00,4.89,18.40,10.00,141.89,426.30,11.67,13.22,-7.34,162.28
Excellent Wires,,EXCELLENT,INE0Y4801011,Industrial Products,Other Industrial Products,192.90,57.11,86.23,0.00,1.06,37.66,12.72,8.72,9.68,36.30,0.09,7.60,67.00,0.00,16.07,147.17,10.30,0.91,-4.88,18.04,9.45,2.03,4.81
Exicom Tele-Sys.,544133,EXICOM,INE777F01014,Electrical Equipment,Heavy Electrical Equipment,160.99,,2239.05,0.00,-73.57,-3.43,331.07,61.25,-14.66,-42.99,1.09,-40.75,-3.50,2.83,17.61,,-17.07,-86.59,-227.40,-0.20,-6.78,55.63,7.37
Expo Engineering,526614,,INE561D01025,Industrial Products,Other Industrial Products,89.50,177.24,232.18,0.00,0.61,-41.35,13.75,-22.97,9.07,42.10,0.83,4.89,1.50,0.69,-5.25,2.41,6.90,-6.41,0.11,10.24,9.43,-44.18,0.00
Faalcon Concepts,544164,FAALCON,INE0Q9W01015,Industrial Manufacturing,Industrial Products,41.00,12.64,39.95,0.00,2.11,,19.50,,,7.10,0.19,7.03,5.75,0.00,,,,0.22,,0.00,19.49,,0.00
Fabtech Cleanrooms,544332,,INE0HSD01011,Industrial Manufacturing,Industrial Products,505.45,41.32,622.68,0.40,13.29,57.11,143.14,62.47,19.43,26.48,0.19,15.22,12.17,0.00,20.72,23.71,15.42,-17.08,-11.81,18.77,9.96,46.18,1.46
Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,1460.90,27.92,22342.91,0.62,249.04,53.14,2013.15,44.26,16.01,20.00,0.00,12.33,585.51,0.00,12.15,12.28,13.19,49.08,833.23,17.40,10.48,26.53,107.04
Finolex Inds.,500940,FINPIPE,INE183A01024,Industrial Products,Plastic Products - Industrial,154.16,15.54,9565.27,1.30,114.52,16.67,883.58,-15.30,11.83,10.46,0.07,8.57,38.46,0.00,-2.20,32.54,6.58,191.75,927.73,10.66,17.50,-2.24,27.85
Fluidomat,522017,,INE459C01016,Industrial Manufacturing,Industrial Products,738.40,18.55,364.03,1.02,2.23,-16.79,11.85,-4.36,30.46,13.24,0.00,22.69,,0.65,16.31,27.76,25.83,10.75,35.36,34.90,32.38,4.26,4.31
Forbes Precision,544186,,INE0TT901016,Industrial Manufacturing,Industrial Products,170.60,25.90,880.20,2.93,9.03,137.01,67.55,28.89,21.05,13.99,0.10,16.41,30.32,94.40,,1300.85,22.09,27.55,88.33,33.96,22.55,14.08,3.56
Foseco Crucible (India),523160,,INE599F01020,Industrial Products,Electrodes & Refractories,1928.60,27.44,1080.02,0.65,10.29,92.03,48.68,14.43,33.24,16.21,0.01,21.77,294.06,0.00,3.61,22.58,21.13,35.50,103.94,30.64,30.82,2.43,3.35
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,422.10,30.99,12954.32,0.00,57.80,168.56,1345.69,125.28,35.14,20.59,0.41,36.63,12.96,0.00,58.74,132.40,37.06,-2.89,100.71,31.60,18.78,94.97,201.27
G G Dandekar,505250,,INE631D01026,Industrial Manufacturing,Industrial Products,70.05,370.56,33.35,0.00,-0.26,-333.33,0.83,-21.70,-0.55,15.41,0.07,0.36,-1.60,0.00,11.83,41.90,-2.92,0.56,3.43,-1.44,33.74,-16.28,0.00
G K P Printing,542666,,INE05QJ01015,Industrial Products,Packaging,7.40,67.83,16.28,0.00,-0.20,-350.00,7.02,13.04,4.40,9.78,0.08,2.25,1.51,0.00,-21.39,-19.29,-0.61,1.93,4.32,1.26,4.49,-5.78,0.00
G M Polyplast,543239,,INE0E2801015,Industrial Products,Plastic Products - Industrial,65.30,10.63,87.89,0.00,4.77,24.87,58.42,9.63,25.69,6.54,0.04,19.08,35.81,0.00,7.78,18.90,21.22,9.51,14.65,29.45,12.31,7.10,0.00
G V Electricals,544859,,INE1ZGR01024,Electrical Equipment,Other Electrical Equipment,129.40,13.93,145.95,0.00,,,,,40.80,8.57,0.49,36.86,7.36,0.00,14.49,76.38,27.94,-3.31,-1.84,34.34,11.51,19.18,0.00
Gabion Technol.,544675,,INE1H1501013,Industrial Manufacturing,Industrial Products,134.80,22.29,183.00,0.00,5.52,60.00,73.29,37.17,20.08,12.55,0.69,20.96,3.38,0.00,12.46,33.77,28.89,5.87,-1.26,23.14,15.39,12.12,0.09
Gabriel Pet,544108,,INE0QZF01012,Industrial Products,Other Industrial Products,65.52,9.28,49.01,0.00,1.73,,128.20,,,8.34,0.05,4.70,11.56,0.00,,,,-38.28,,0.00,2.44,,0.00
Gala Precis. Eng,544244,GALAPREC,INE0RE001014,Industrial Manufacturing,Industrial Products,1148.60,38.68,1472.07,0.00,8.19,26.40,75.38,19.50,15.60,24.35,0.13,13.24,18.19,0.00,23.84,32.91,15.97,10.17,28.57,18.42,16.70,31.83,18.76
Galada Power,504697,,INE255C01018,Electrical Equipment,Other Electrical Equipment,25.32,,22.44,0.00,-0.14,46.15,0.00,,-13.93,-39.32,,,,0.00,,18.53,,-1.24,13.76,-22.61,,,0.00
Galaxy Agrico,531911,,INE803L01016,Industrial Manufacturing,Industrial Products,96.80,,153.82,0.00,0.50,516.67,3.52,295.51,-3.04,-1280.00,0.00,-4.49,-8.33,0.00,-22.87,,-5.41,-46.42,-47.27,-5.49,-12.76,49.57,0.00
Galaxy Bearings,526073,,INE020S01012,Industrial Products,Abrasives & Bearings,910.45,78.04,289.52,0.00,2.99,15.44,15.95,-5.57,5.24,34.73,0.16,3.04,3.52,0.00,-17.14,-40.79,12.18,19.79,23.15,16.36,9.48,-32.31,31.34
Gallantt Ispat L,532726,GALLANTT,INE297H01019,Industrial Products,Iron & Steel Products,545.10,30.18,13152.22,0.37,123.67,-28.84,1145.67,1.59,18.16,18.18,0.17,15.63,13.42,0.00,2.89,50.59,13.71,602.26,1525.38,16.44,14.76,4.13,349.05
Gandhi Spl. Tube,513108,GANDHITUBE,INE524B01027,Industrial Products,Iron & Steel Products,966.50,14.46,1090.59,1.55,27.94,29.29,57.20,18.89,28.44,10.46,0.00,19.95,1001.60,0.00,4.62,9.26,20.73,55.20,128.61,29.16,44.54,11.70,0.00
Ganesh Green,,GGBL,INE0R8C01018,Electrical Equipment,Other Electrical Equipment,210.35,6.94,521.69,0.24,42.34,147.60,724.85,300.98,36.81,4.87,0.18,31.76,19.11,0.00,131.95,109.78,29.39,13.29,-4.17,31.33,10.43,241.93,0.00
Ganga Forging,,GANGAFORGE,INE691Z01023,Industrial Products,Castings & Forgings,1.46,,49.20,0.00,1.06,174.55,7.19,-7.23,-6.43,-64.66,0.71,-13.25,-2.49,0.00,2.16,,-4.16,0.36,-14.38,0.45,-3.91,-17.40,2.87
Garden Reach Sh.,542011,GRSE,INE382Z01011,Aerospace & Defense,Aerospace & Defense,2319.00,33.18,26564.61,0.85,172.84,43.82,1814.62,38.53,42.82,20.47,0.01,31.60,78.56,0.00,39.83,50.20,27.67,-289.72,-981.02,35.60,11.09,39.64,23.78
Garg Furnace,530615,,INE194E01015,Industrial Products,Iron & Steel Products,228.90,14.54,155.85,0.00,1.68,34.40,57.18,-4.94,12.81,11.12,0.18,12.77,15.85,0.00,6.69,20.10,13.73,-12.32,-21.93,13.84,5.02,10.36,0.12
Garware Hi Tech,500655,GRWRHITECH,INE291A01017,Industrial Products,Plastic Products - Industrial,6640.00,39.77,15426.31,0.18,132.65,59.78,633.08,27.90,18.08,26.87,0.00,13.46,60.58,0.00,13.81,27.45,13.08,275.33,777.16,17.54,22.01,6.02,27.44
Gayatri Rubbers,,GRCL,INE0LVM01018,Industrial Products,Rubber,597.90,61.37,343.08,0.00,2.95,86.71,24.48,33.99,37.86,39.53,0.35,33.06,12.27,0.00,23.45,83.14,24.94,0.16,-1.62,30.03,21.08,30.96,0.00
GE Power,532309,GVPIL,INE878A01011,Electrical Equipment,Heavy Electrical Equipment,669.70,12.18,4502.22,1.05,53.73,42.52,308.69,7.61,81.99,9.93,0.03,62.17,19.20,0.00,-10.92,38.29,43.62,469.36,1030.80,31.05,23.56,18.73,3.19
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4280.00,81.16,109589.40,0.23,362.99,24.65,1836.14,38.04,77.44,57.70,0.01,57.40,118.41,0.00,30.80,489.90,42.28,1709.88,3131.82,51.77,26.17,43.91,65.41
GEE,504028,,INE064H01021,Electrical Equipment,Other Electrical Equipment,129.45,37.44,672.84,0.00,6.85,316.33,102.86,29.91,11.35,19.12,0.28,7.53,4.28,43.62,-2.29,21.50,3.17,-7.81,51.13,6.52,9.39,18.70,1.61
Geekay Wires,,GEEKAYWIRE,INE669X01032,Industrial Products,Iron & Steel Products,32.90,11.99,343.87,1.06,5.77,-19.75,94.94,3.49,16.78,8.79,0.84,18.99,6.68,0.00,3.36,4.24,27.79,20.71,113.39,25.43,8.84,-1.96,42.46
Gensol Engineer.,542851,GENSOL,INE06H201014,Electrical Equipment,Other Electrical Equipment,16.71,0.63,64.24,0.00,17.86,32.52,344.51,56.42,14.33,3.54,2.33,22.38,1.58,95.10,146.92,165.36,21.71,-98.10,-32.69,16.45,22.70,74.22,171.27
Genus Power,530343,GENUSPOWER,INE955D01029,Electrical Equipment,Other Electrical Equipment,305.70,14.27,9300.70,0.16,196.64,43.20,1364.88,44.83,25.27,10.22,1.04,30.89,5.73,4.52,80.46,178.98,20.44,-218.55,-814.18,18.43,18.81,74.17,64.28
GLEN Industries,544444,,INE0UMC01019,Industrial Products,Packaging,125.00,18.26,300.77,0.00,8.20,-15.64,107.57,24.33,13.75,9.93,0.86,16.63,3.32,0.00,19.95,75.06,23.16,5.85,25.53,16.29,18.58,20.00,11.89
Global Pet Indus,,GLOBALPET,INE0PS501019,Industrial Manufacturing,Industrial Products,160.00,37.72,188.60,0.00,5.35,42.67,33.29,22.93,13.31,22.08,0.00,9.46,176.00,0.00,16.85,44.42,10.34,7.07,1.67,14.36,9.72,24.00,17.73
GMM Pfaudler,505255,GMMPFAUDLR,INE541A01023,Industrial Manufacturing,Industrial Products,1505.20,53.72,6766.96,0.13,22.10,114.35,924.76,16.39,13.64,16.15,0.86,6.69,2.74,0.00,3.51,-23.43,10.55,388.80,1050.79,15.19,10.82,13.91,20.26
Godawari Power,532734,GPIL,INE177H01039,Industrial Products,Iron & Steel Products,229.42,18.84,15445.45,0.44,222.37,2.68,1750.47,32.29,20.53,10.72,0.08,15.33,18.75,0.00,-2.19,0.69,17.88,1157.40,3100.09,24.32,21.54,8.43,469.51
Goodluck India,530655,GOODLUCK,INE127I01024,Industrial Products,Iron & Steel Products,525.65,25.67,5241.55,0.38,67.22,59.54,1287.43,30.93,14.40,13.65,0.75,13.01,3.59,0.00,10.10,27.55,13.78,200.24,312.57,15.65,10.01,9.94,120.95
GP Eco Solutions,,GPECO,INE0S7E01015,Electrical Equipment,Other Electrical Equipment,402.05,12.36,495.72,0.00,32.94,424.16,292.91,79.56,38.27,9.35,0.99,45.83,8.59,55.50,59.26,140.62,39.46,29.33,45.57,34.94,14.30,68.16,8.13
Grand Foundry,513343,GFSTEELS,INE534A01028,Industrial Products,Iron & Steel Products,32.45,40.47,98.75,0.00,2.11,1506.67,19.65,,116.54,34.80,,,5.14,0.00,372.22,32.64,,-0.55,-1.79,116.54,9.94,,0.00
Graphite India,509488,GRAPHITE,INE371A01025,Industrial Products,Electrodes & Refractories,820.70,73.18,16034.48,0.85,171.00,28.36,842.00,26.62,4.58,38.67,0.06,3.11,12.19,0.00,-3.58,-7.62,4.12,82.54,1263.02,5.38,2.97,21.31,61.11
Greaves Cotton,501455,GREAVESCOT,INE224A01026,Industrial Products,"Compressors, Pumps & Diesel Engines",234.78,54.90,5469.23,0.85,6.16,-22.68,974.12,30.68,10.11,18.84,0.28,8.10,5.15,0.00,8.38,10.47,4.50,32.58,-142.98,6.32,6.51,21.20,64.09
Grindwell Norton,506076,GRINDWELL,INE536A01023,Industrial Products,Abrasives & Bearings,1972.70,50.06,21841.73,0.96,115.31,22.30,803.30,14.19,21.18,30.73,0.02,16.17,79.97,0.00,6.54,3.41,16.97,542.14,1368.57,22.22,18.93,12.94,51.62
GRP,509152,GRPLTD,INE137I01015,Industrial Products,Rubber,1999.00,155.64,1066.13,0.18,4.20,140.00,156.83,26.73,6.94,25.76,1.16,2.48,1.95,0.00,5.88,-30.27,11.58,29.61,101.18,13.31,8.30,3.73,5.93
GSM Foils,,GSMFOILS,INE0SQY01018,Industrial Products,Packaging,77.55,4.63,109.29,0.00,7.62,98.96,96.89,86.33,35.36,4.26,0.60,37.54,9.18,0.00,,,36.30,-36.79,-50.51,40.50,11.70,83.88,0.00
GTV Engineering,539479,,INE910R01024,Industrial Manufacturing,Industrial Products,61.73,19.45,313.59,0.22,3.99,91.83,29.64,79.64,28.58,13.88,0.12,23.66,363.00,0.00,1.83,80.73,22.22,2.79,10.09,23.27,18.07,32.41,0.00
Guj Apollo Inds,522217,GUJAPOLLO,INE826C01016,Industrial Manufacturing,Industrial Products,329.10,76.09,426.84,0.61,0.81,-29.57,9.98,-9.93,1.81,30.36,0.08,1.02,2.79,0.00,-9.68,-23.07,0.92,-38.78,-46.95,2.15,-22.86,17.67,8.70
Guj. Containers,513507,,INE276I01011,Industrial Products,Packaging,170.05,10.15,96.08,0.88,3.76,125.15,46.58,31.66,16.32,6.34,0.07,13.56,14.52,0.00,2.48,-12.56,17.45,17.72,28.42,19.11,9.86,7.16,0.00
Guj. Craft Inds,526965,,INE372D01019,Industrial Products,Packaging,88.74,42.12,43.38,0.56,0.06,-85.71,43.89,-7.68,5.90,8.65,1.12,1.94,1.21,0.00,3.85,-29.04,3.74,7.68,13.72,6.98,6.81,-14.57,12.11
Guj. Raffia Inds,523836,GUJRAFFIA,INE610B01024,Industrial Products,Packaging,40.69,18.64,21.99,0.00,0.47,38.24,9.39,-18.49,5.49,5.95,0.08,3.69,7.64,0.00,31.17,0.00,2.95,4.90,17.62,4.50,3.18,178.23,0.00
Guj. Toolroom,513337,,INE145J01032,Industrial Products,Plastic Products - Industrial,0.42,7.58,58.48,0.00,4.87,238.19,0.00,-100.00,1.96,14.40,0.20,2.37,,0.00,110.85,77.09,23.36,127.71,-119.14,68.33,-23.59,-97.46,0.00
Gujarat Intrux,517372,,INE877E01015,Industrial Products,Castings & Forgings,417.70,13.67,143.49,5.99,2.14,9.74,14.07,7.98,21.23,8.74,0.00,15.49,357.75,0.00,10.15,21.40,14.86,15.01,22.61,20.08,20.52,11.18,0.00
Gujarat Poly,517288,,INE541F01022,Electrical Equipment,Other Electrical Equipment,58.84,1.94,50.31,0.85,0.70,-75.27,5.53,18.42,4.39,1.65,0.01,-24.89,749.25,0.00,1.88,,-4.59,-1.46,0.90,9.01,2.48,0.85,0.00
Gurunanak Agri.,,GURUNANAK,INE1CCX01012,"Agricultural, Commercial & Construction Vehicles",Tractors,36.50,7.20,43.80,0.00,4.00,36.52,25.98,34.61,27.26,3.08,0.04,20.46,17.35,0.00,2.56,117.61,33.90,-7.29,-4.05,38.74,22.67,-4.06,0.18
Haldyn Glass,515147,HALDYNGL,INE506D01020,Industrial Products,Packaging,145.46,25.20,781.87,0.48,10.26,90.00,138.69,20.58,13.54,10.69,0.49,11.44,4.17,0.00,13.17,-1.02,10.04,61.78,125.33,12.65,13.92,18.93,1.56
Happy Forgings,544057,HAPPYFORGE,INE330T01021,Industrial Products,Castings & Forgings,2063.50,59.50,19479.68,0.19,91.46,39.23,449.42,27.03,18.03,36.46,0.15,15.03,39.86,0.00,8.92,12.74,16.13,444.67,926.44,19.96,31.08,15.53,237.47
Hariom Pipe,543517,HARIOMPIPE,INE00EV01017,Industrial Products,Iron & Steel Products,344.55,15.34,1066.98,0.22,17.36,-26.47,429.18,-6.89,15.82,6.66,0.57,12.44,2.74,0.00,37.32,17.95,12.54,192.08,275.67,14.83,12.34,10.87,14.88
Harish Textile,542682,,INE01K301012,Industrial Manufacturing,Industrial Products,64.00,4.04,21.35,0.00,0.90,-22.41,39.44,24.18,26.62,3.84,2.09,47.32,2.64,0.00,5.95,231.71,17.44,7.39,28.94,15.61,8.85,9.88,1.70
Hariyana Ship,526931,HRYNSHP,INE400G01011,Industrial Manufacturing,Ship Building & Allied Services,97.01,3.48,59.86,0.00,4.41,548.53,0.00,,11.79,2.76,0.03,7.48,11.21,0.00,-59.84,38.06,3.62,-1.53,-2.93,6.30,30.00,1566.67,0.00
Harri. Malayalam,500467,HARRMALAYA,INE544A01019,Industrial Products,Rubber,172.59,11.76,318.60,0.00,3.93,-34.06,124.92,7.26,11.77,9.13,0.62,11.73,3.17,0.00,3.45,3.77,7.28,25.37,81.70,9.37,4.09,2.78,104.55
Harsha Engg Intl,543600,HARSHA,INE0JUS01029,Industrial Products,Other Industrial Products,462.05,27.20,4206.69,0.32,37.38,-1.45,457.43,25.22,13.00,15.93,0.27,10.51,12.02,0.00,6.05,4.35,9.69,68.49,410.62,12.43,14.64,20.22,18.52
Hawa Engineers,539176,,INE230I01018,Industrial Manufacturing,Industrial Products,80.00,11.56,28.21,0.00,0.65,35.42,23.74,-3.18,16.13,4.00,0.97,12.51,1.80,0.00,3.74,55.66,11.54,4.46,15.54,15.69,6.88,-4.29,0.00
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,806.00,27.87,22341.91,0.37,109.14,-25.07,638.03,6.03,59.30,19.38,0.03,45.34,78.27,0.00,34.13,104.74,33.07,738.44,1255.45,40.84,31.98,62.97,127.48
HCP Plastene,526717,,INE136C01044,Industrial Products,Packaging,401.90,12.97,429.70,0.25,18.35,244.14,174.19,38.52,19.42,7.67,3.00,32.93,3.60,0.00,18.69,136.04,17.98,-18.53,-55.95,12.83,12.55,31.26,0.06
Heera Ispat,526967,,INE025D01013,Industrial Products,Iron & Steel Products,6.32,,3.72,0.00,-0.02,90.00,0.00,,-40.00,-45.10,,,,0.00,,8.37,,-0.38,-0.90,-141.97,,,0.00
HEG Advanced Materials,509631,HEGAM,INE545A01024,Industrial Products,Electrodes & Refractories,244.35,13.32,4715.41,1.39,122.34,22.57,680.79,11.10,8.35,7.62,0.17,7.42,12.33,0.00,1.41,-13.73,5.73,213.20,1105.13,6.98,9.97,20.20,224.30
Hercules Investments,505720,,INE688E01024,Industrial Manufacturing,Industrial Products,113.70,46.35,363.84,2.20,0.12,1300.00,0.42,147.06,1.05,44.42,0.00,1.00,,0.00,-61.01,-33.06,0.97,-1.10,5.38,1.01,72.75,1012.12,0.00
Hi-Tech Pipes,543411,HITECH,INE106T01025,Industrial Products,Iron & Steel Products,73.60,19.85,1494.87,0.03,20.04,-4.21,1412.80,78.53,9.77,9.10,0.20,5.88,2.80,13.00,20.75,21.41,7.12,3.32,-22.04,11.14,3.77,61.15,102.89
Highness Microelectronics,544741,,INE1KI801019,Industrial Manufacturing,Industrial Products,237.50,29.91,122.64,0.00,3.18,245.65,8.77,19.32,28.34,14.39,0.29,24.74,5.57,0.00,18.61,112.05,36.22,4.70,6.19,50.58,41.94,14.57,0.00
Hilton Met.Forg.,532847,HILTON,INE788H01017,Industrial Products,Castings & Forgings,16.85,16.97,86.72,0.00,1.81,1106.67,58.96,167.39,5.55,9.00,0.37,2.59,1.81,0.00,30.01,-16.19,3.64,-26.84,-14.00,7.73,5.05,76.94,22.69
Hind.Adhesive,514428,HINDADH,INE074C01013,Industrial Products,Plastic Products - Industrial,386.30,7.26,197.79,0.00,12.29,227.73,77.21,16.30,15.54,5.39,1.00,17.47,5.50,0.00,-7.24,54.33,19.32,42.03,84.61,17.79,19.54,-6.88,0.00
Hind.Aeronautics,541154,HAL,INE066F01020,Aerospace & Defense,Aerospace & Defense,4800.00,34.44,321012.00,0.94,1589.66,14.88,5515.17,14.45,31.97,19.76,0.00,23.97,2129.76,0.00,7.11,16.08,26.01,10906.38,32772.66,34.90,29.64,7.42,3313.01
Hind.Tin Works,530315,,INE428D01019,Industrial Products,Packaging,117.65,13.07,122.35,0.64,3.81,38.04,126.10,5.64,7.36,5.68,0.32,3.89,2.21,0.00,-3.22,-19.38,6.05,37.22,111.46,8.80,6.74,2.01,0.44
