Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
NCL Industries,502168,NCLIND,INE732C01016,Cement & Cement Products,Cement & Cement Products,179.26,6.54,810.84,1.95,17.24,-20.77,343.67,2.49,14.62,5.00,0.25,11.28,7.41,13.66,-5.10,30.96,8.66,145.71,425.16,12.75,12.36,3.52,2.29
Nuvoco Vistas,543334,NUVOCO,INE118D01016,Cement & Cement Products,Cement & Cement Products,335.45,28.87,11980.80,0.00,159.63,19.98,3128.71,8.91,6.99,8.75,0.53,4.17,2.92,0.00,2.31,-2.93,2.00,1485.17,4406.23,5.45,16.44,9.45,2682.81
Orient Cement,535754,ORIENTCEM,INE876N01018,Cement & Cement Products,Cement & Cement Products,122.16,11.80,2509.90,0.41,77.00,-62.44,604.00,-30.25,16.46,4.81,0.03,17.27,23.43,0.00,-1.67,40.61,11.19,-38.58,592.63,13.81,20.03,-12.09,32.29
Panyam Cement,500322,,INE167E01037,Cement & Cement Products,Cement & Cement Products,106.30,,85.27,0.00,17.51,155.27,40.21,9473.81,2.05,19.64,,,0.07,0.00,29.75,-11.58,,-33.30,-91.26,-18.07,-33.08,1.63,1.48
Prism Johnson,500338,PRSMJOHNSN,INE010A01011,Cement & Cement Products,Cement & Cement Products,116.31,49.89,5854.58,0.00,112.70,515.75,1835.23,2.57,5.92,8.70,1.10,-5.41,1.68,0.00,0.09,5.21,-4.40,502.89,1712.98,4.24,9.79,4.76,45.37
Sagar Cements,502090,SAGCEM,INE229C01021,Cement & Cement Products,Cement & Cement Products,152.64,,1995.12,0.00,-28.10,-1994.26,706.07,5.28,1.97,14.03,1.01,-1.05,0.09,29.99,5.93,,-5.52,215.56,849.89,0.40,9.05,13.42,115.77
Sainik Finance,530265,,INE584B01013,Cement & Cement Products,Cement & Cement Products,38.88,10.19,42.30,1.29,0.92,-3.16,4.42,22.10,10.57,9.23,2.17,9.02,1.43,0.00,-2.42,264.26,10.00,-25.27,-7.07,10.59,88.18,6.06,0.00
Saurashtra Cem.,502175,SAURASHCEM,INE626A01014,Cement & Cement Products,Cement & Cement Products,55.72,38.66,620.09,0.00,9.13,-45.82,456.75,7.83,2.51,8.80,0.11,2.29,1.20,0.00,0.42,44.55,3.10,36.45,221.78,5.49,2.26,7.86,37.28
Scan Projects,531797,,INE393D01015,Cement & Cement Products,Cement & Cement Products,104.30,43.43,29.97,0.00,0.13,-13.33,2.16,-20.30,17.54,28.80,0.13,13.08,47.50,0.00,38.94,107.04,11.25,3.03,6.44,17.02,3.77,21.82,0.00
Sh. Digvijay Cem,502180,SHREDIGCEM,INE232A01011,Cement & Cement Products,Cement & Cement Products,67.85,55.63,1003.60,1.47,6.83,-50.47,337.27,72.12,6.40,18.98,1.41,6.86,2.19,0.00,1.10,-24.32,12.66,-410.85,-180.27,16.41,8.53,19.63,15.17
